job_id,company_name,job_title,job_description,posting_date,location,job_url,employment_type,seniority_level,salary_range,extracted_skills,company_industry,scraped_date,posting_week,posting_month,is_duplicate_posting
meta_00001,Meta,"Data Scientist, Finance","Summary: Meta is seeking a highly quantitative, analytical and proactive data scientist for the Finance Data Science team. The Finance DS team has a unique bird's-eye view of Meta's world class advertising business and is positioned at the center of some of the most important strategic decisions for the company. The team is responsible for understanding business drivers, accurately forecasting revenue, identifying opportunities/risks, and maximizing ROI on the largest investments across the fam…",2026-02-20,Menlo Park,,,Mid-level,154000-154000,,Technology,,2026-W08,2026-02,False
meta_00002,Meta,Research Engineer - Computer Vision and Robotics,"Summary: The Surreal Team at Meta's Reality Lab Research is a multi-disciplinary, vertically integrated R&D group. Our expertise spans a wide range, from hardware prototyping and software/hardware co-design to comprehensive end-to-end system integration, enhancing the overall end-user experience. We specialize in an array of cutting-edge technologies in ego-centric machine perception and robotics AI including areas such as transfer learning, learning from demonstration, reinforcement learning, …",2025-11-05,Redmond,,,Mid-level,102000-102000,"[""R"", ""Computer Vision""]",Technology,,2025-W45,2025-11,False
meta_00003,Meta,"Software Engineering Manager, Computer Vision","Summary: Meta Reality Labs seeks an experienced Engineering Manager to build the future. Our team values innovation, collaboration, and proven technical expertise.You will shape tomorrow's reality, developing cutting-edge technologies for current and future Reality Labs products: immersive MR/AR devices, AI glasses, AI agents, and advanced robotics.You'll lead the development of our 3D Maps that make Meta's Wearables and VR devices spatially- and location-aware. If you want to push the boundari…",2026-02-20,Hillsborough,,,Lead,211000-211000,"[""Computer Vision""]",Technology,,2026-W08,2026-02,True
meta_00004,Meta,"Software Engineering Manager, Computer Vision","Summary: Meta Reality Labs seeks an experienced Engineering Manager to build the future. Our team values innovation, collaboration, and proven technical expertise.You will shape tomorrow's reality, developing cutting-edge technologies for current and future Reality Labs products: immersive MR/AR devices, AI glasses, AI agents, and advanced robotics.You'll lead the development of our 3D Maps that make Meta's Wearables and VR devices spatially- and location-aware. If you want to push the boundari…",2026-01-23,Redmond,,,Lead,181000-181000,"[""Computer Vision""]",Technology,,2026-W04,2026-01,True
meta_00005,Meta,"Software Engineering Manager, Computer Vision","Summary: Meta Reality Labs seeks an experienced Engineering Manager to build the future. Our team values innovation, collaboration, and proven technical expertise.You will shape tomorrow's reality, developing cutting-edge technologies for current and future Reality Labs products: immersive MR/AR devices, AI glasses, AI agents, and advanced robotics.You'll lead the development of our 3D Maps that make Meta's Wearables and VR devices spatially- and location-aware. If you want to push the boundari…",2026-01-23,International,,,Lead,183000-183000,"[""Computer Vision""]",Technology,,2026-W04,2026-01,True
meta_00006,Meta,"Research Scientist Intern, Monetization Generative AI - LLM (PhD)","Summary: Meta was built to help people connect and share, and over the last decade our tools have played a critical part in changing how people around the world communicate with one another. With over a billion people using the service and more than fifty offices around the globe, a career at Meta offers countless ways to make an impact in a fast growing organization.We are committed to advancing the field of artificial intelligence by making fundamental advances in technologies to help interac…",2025-09-23,Grand Central,,,Mid-level,152000-152000,,Technology,,2025-W39,2025-09,True
meta_00007,Meta,"Research Scientist Intern, Monetization Generative AI - LLM (PhD)","Summary: Meta was built to help people connect and share, and over the last decade our tools have played a critical part in changing how people around the world communicate with one another. With over a billion people using the service and more than fifty offices around the globe, a career at Meta offers countless ways to make an impact in a fast growing organization.We are committed to advancing the field of artificial intelligence by making fundamental advances in technologies to help interac…",2025-10-30,Bellevue,,,Mid-level,148000-148000,,Technology,,2025-W44,2025-10,True
meta_00008,Meta,"Research Scientist Intern, Monetization Generative AI - LLM (PhD)","Summary: Meta was built to help people connect and share, and over the last decade our tools have played a critical part in changing how people around the world communicate with one another. With over a billion people using the service and more than fifty offices around the globe, a career at Meta offers countless ways to make an impact in a fast growing organization.We are committed to advancing the field of artificial intelligence by making fundamental advances in technologies to help interac…",2026-02-20,Menlo Park,,,Mid-level,145000-145000,,Technology,,2026-W08,2026-02,True
meta_00009,Meta,Fundamental AI Researcher - FAIR,"Summary: Meta is seeking a researcher to join the Fundamental AI Research (FAIR) team, a research organization focused on advancing the state-of-the-art in AI. In this role, you'll work with world-class researchers at FAIR on fundamental and exploratory research. The team focuses on research in developing learning algorithms with enhanced reasoning, memory and alignment methods. Our current projects span improved learning objectives, self-supervised learning objectives, higher-level reasoning, …",2026-01-23,Grand Central,,,Mid-level,158000-158000,,Technology,,2026-W04,2026-01,True
meta_00010,Meta,Fundamental AI Researcher - FAIR,"Summary: Meta is seeking a researcher to join the Fundamental AI Research (FAIR) team, a research organization focused on advancing the state-of-the-art in AI. In this role, you'll work with world-class researchers at FAIR on fundamental and exploratory research. The team focuses on research in developing learning algorithms with enhanced reasoning, memory and alignment methods. Our current projects span improved learning objectives, self-supervised learning objectives, higher-level reasoning, …",2026-01-23,International,,,Mid-level,121000-121000,,Technology,,2026-W04,2026-01,True
meta_00011,Meta,Fundamental AI Researcher - FAIR,"Summary: Meta is seeking a researcher to join the Fundamental AI Research (FAIR) team, a research organization focused on advancing the state-of-the-art in AI. In this role, you'll work with world-class researchers at FAIR on fundamental and exploratory research. The team focuses on research in developing learning algorithms with enhanced reasoning, memory and alignment methods. Our current projects span improved learning objectives, self-supervised learning objectives, higher-level reasoning, …",2026-02-20,Menlo Park,,,Mid-level,151000-151000,,Technology,,2026-W08,2026-02,True
meta_00012,Meta,"AI Research Scientist, Robotics","Summary: At Meta, we're building the future of human connection and the technology that enables it. This means continuously inventing and developing technologies for the next generation of experiences. To continue our efforts in the path to AGI, and as we move closer to a future with intelligent robots and advanced AI models, we're hiring talent across a broad range of disciplines from robotics hardware to system software, machine perception, and artificial intelligence. These crucial projects …",2025-12-20,Redmond,,,Mid-level,86000-86000,,Technology,,2025-W51,2025-12,True
meta_00013,Meta,"AI Research Scientist, Robotics","Summary: At Meta, we're building the future of human connection and the technology that enables it. This means continuously inventing and developing technologies for the next generation of experiences. To continue our efforts in the path to AGI, and as we move closer to a future with intelligent robots and advanced AI models, we're hiring talent across a broad range of disciplines from robotics hardware to system software, machine perception, and artificial intelligence. These crucial projects …",2026-02-20,Hillsborough,,,Mid-level,100000-100000,,Technology,,2026-W08,2026-02,True
meta_00014,Meta,"AI Research Scientist, Robotics","Summary: The ideal Research Scientist candidate will use their skills in system design and modeling and possess knowledge of a wide variety of components and technologies. These roles will require research and problem-solving skills, as well as fabrication and prototyping to design, develop, and construct novel prototypes and architectures. These roles will work in a focused incubation team and collaborate with a large and wide-ranging set of scientists and engineers in the greater organization…",2026-01-08,Grand Central,,,Mid-level,109000-109000,,Technology,,2026-W02,2026-01,True
meta_00015,Meta,"AI Research Scientist, Robotics","Summary: The ideal Research Scientist candidate will use their skills in system design and modeling and possess knowledge of a wide variety of components and technologies. These roles will require research and problem-solving skills, as well as fabrication and prototyping to design, develop, and construct novel prototypes and architectures. These roles will work in a focused incubation team and collaborate with a large and wide-ranging set of scientists and engineers in the greater organization…",2026-02-20,Menlo Park,,,Mid-level,105000-105000,,Technology,,2026-W08,2026-02,True
meta_00016,Meta,Contextual AI Research Engineer,"Summary: Meta Reality Labs Research (RL Research) brings together a industry-leading R&D team of researchers, developers, and engineers with the shared goal of developing AI and AR/VR technology across the spectrum. The Surreal platform team is seeking software engineers to build advanced end-to-end contextual AI systems. This role focuses on architecting, developing, and integrating robust software systems for real-time device operation, sensor fusion, and seamless device-to-cloud integration.…",2026-02-13,Redmond,,,Mid-level,143000-143000,"[""R""]",Technology,,2026-W07,2026-02,True
meta_00017,Meta,Contextual AI Research Engineer,"Summary: Meta Reality Labs Research (RL Research) brings together a industry-leading R&D team of researchers, developers, and engineers with the shared goal of developing AI and AR/VR technology across the spectrum. The Surreal platform team is seeking software engineers to build advanced end-to-end contextual AI systems. This role focuses on architecting, developing, and integrating robust software systems for real-time device operation, sensor fusion, and seamless device-to-cloud integration.…",2026-02-20,Sunnyvale,,,Mid-level,194000-194000,"[""R""]",Technology,,2026-W08,2026-02,True
meta_00018,Meta,Contextual AI Research Scientist,"Summary: Reality Labs Research (RL-R) unites an industry-leading team of researchers, developers, and engineers to advance AR and VR technologies. The Surreal research group at RL-R is seeking an Research Scientist (IC6) with proven experience in agentic AI to tackle challenges in machine perception and Contextual AI. You will play a pivotal role in developing research devices and algorithms that understand the world from a human's perspective, laying the foundation for future AR glasses and im…",2026-02-19,Redmond,,,Mid-level,149000-149000,"[""R""]",Technology,,2026-W08,2026-02,False
meta_00019,Meta,"AI Research Scientist, MRS AI (PhD)","Summary: The AI Research Scientist role conducts cutting-edge research and develops advanced machine learning models-particularly in large language models, and recommendation systems-to drive innovation in content and user understanding, retrieval, and ranking. These deliverables directly enhance Meta's products by powering more accurate, efficient, and personalized recommendations across Facebook, Instagram, Threads, and other platforms. By pushing the boundaries of AI, the role supports Meta'…",2026-02-20,Menlo Park,,,Mid-level,127000-127000,,Technology,,2026-W08,2026-02,False
