job_id,company_name,job_title,job_description,posting_date,location,job_url,employment_type,job_category,seniority_level,tech_stack_tags,countries,remote_policy,salary_min,salary_max,salary_currency,salary_period,first_seen,last_seen,weeks_observed,observed_dates,job_status,scraped_date,company_industry,source
nvidia_010047eecc253091,NVIDIA,"Product Manager, Internal Project Management Platforms",,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Manager--Internal-Project-Management-Platforms_JR2015002,,product,,[],[],,,,,,2026-05-13,2026-05-13,1,"[""2026-05-13""]",closed,2026-05-13,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_01835e8949f7d8a2,NVIDIA,"Senior Technical Program Manager, Data Platform",,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager--Data-Platform_JR2017180,,engineering,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_0266da880c6597ae,NVIDIA,Senior System Software Engineer – Embedded AI Inference,,2026-05-13,"Germany, Munich",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Germany-Munich/Senior-System-Software-Engineer---Embedded-AI-Inference_JR2015026,,engineering,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_03a088a13e0dc280,NVIDIA,Senior Linux Kernel Systems Software Engineer – CSP Engagements,,2026-05-13,4 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Linux-Kernel-Systems-Software-Engineer---CSP-Engagements_JR2015287,,,,[],[],,,,,,2026-05-13,2026-09-02,12,"[""2026-05-13"", ""2026-05-20"", ""2026-06-10"", ""2026-06-24"", ""2026-07-01"", ""2026-07-08"", ""2026-07-29"", ""2026-08-05"", ""2026-08-12"", ""2026-08-20"", ""2026-08-27"", ""2026-09-02""]",active,2026-09-02,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_0407f12942d85cef,NVIDIA,"Solutions Architect, Supercomputing",,2026-05-13,3 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-TX-Remote/Solutions-Architect--Supercomputing_JR2015686,,engineering,,[],[],,,,,,2026-05-13,2026-07-29,2,"[""2026-05-13"", ""2026-07-29""]",closed,2026-07-29,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_047eea77b44633cc,NVIDIA,"Senior Solutions Architect, Generative AI Data Processing",,2026-05-13,4 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--Generative-AI-Data-Processing_JR2006008,,ml-ai,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_055264979d4801bd,NVIDIA,"Senior Software Engineer - Python, Spectrum-X",,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Israel-Raanana/Senior-Software-Engineer---Python-and-Spectrum-X_JR2013961,,engineering,senior,[],[],,,,,,2026-05-13,2026-07-08,6,"[""2026-05-13"", ""2026-05-20"", ""2026-06-10"", ""2026-06-24"", ""2026-07-01"", ""2026-07-08""]",closed,2026-07-08,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_055dd10202d9f804,NVIDIA,"Senior Software Engineer, AI Resiliency",,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-WA-Redmond/Senior-Software-Engineer--AI-Resiliency_JR2018027,,engineering,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_05623cb11f51b3f6,NVIDIA,Senior Software Verification Engineer,,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Poland-Warsaw/Senior-Software-Verification-Engineer_JR1998674,,engineering,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
nvidia_062ce56754e8fad1,NVIDIA,"Senior Solutions Architect, GPU Performance and LLM - Cloud Service Providers",,2026-05-13,2 Locations,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--GPU---Cloud-Service-Providers_JR2016042,,engineering,senior,[],[],,,,,,2026-05-13,2026-05-20,2,"[""2026-05-13"", ""2026-05-20""]",closed,2026-05-20,Semiconductors and AI computing,"Aramente/eu-tech-jobs (CC BY-4.0), NVIDIA Workday feed"
