job_id,status,reasons_applied,raw_length,cleaned_length
meta_00001,cleaned,,500.0,500.0
meta_00002,cleaned,,500.0,500.0
meta_00003,cleaned,,500.0,500.0
meta_00004,cleaned,,500.0,500.0
meta_00005,cleaned,,500.0,500.0
meta_00006,cleaned,,500.0,500.0
meta_00007,cleaned,,500.0,500.0
meta_00008,cleaned,,500.0,500.0
meta_00009,cleaned,,500.0,500.0
meta_00010,cleaned,,500.0,500.0
meta_00011,cleaned,,500.0,500.0
meta_00012,cleaned,,500.0,500.0
meta_00013,cleaned,,500.0,500.0
meta_00014,cleaned,,500.0,500.0
meta_00015,cleaned,,500.0,500.0
meta_00016,cleaned,,500.0,500.0
meta_00017,cleaned,,500.0,500.0
meta_00018,cleaned,,500.0,500.0
meta_00019,cleaned,,500.0,500.0
meta_00020,cleaned,,500.0,500.0
meta_00021,cleaned,,500.0,500.0
meta_00022,cleaned,,500.0,500.0
meta_00023,cleaned,,500.0,500.0
meta_00024,cleaned,,500.0,500.0
meta_00025,cleaned,,500.0,500.0
meta_00026,cleaned,,500.0,500.0
meta_00027,cleaned,,500.0,500.0
meta_00028,cleaned,,500.0,500.0
meta_00029,cleaned,,500.0,500.0
meta_00030,cleaned,,500.0,500.0
meta_00031,cleaned,,500.0,500.0
meta_00032,cleaned,,500.0,500.0
meta_00033,cleaned,,500.0,500.0
meta_00034,cleaned,,500.0,500.0
meta_00035,cleaned,,500.0,500.0
meta_00036,cleaned,,500.0,500.0
meta_00037,cleaned,,500.0,500.0
meta_00038,cleaned,,500.0,500.0
meta_00039,cleaned,,500.0,500.0
meta_00040,cleaned,,500.0,500.0
meta_00041,cleaned,,500.0,500.0
meta_00042,cleaned,,500.0,500.0
meta_00043,cleaned,,500.0,500.0
meta_00044,cleaned,,500.0,500.0
meta_00045,cleaned,,500.0,500.0
meta_00046,cleaned,,500.0,500.0
meta_00047,cleaned,,500.0,500.0
meta_00048,cleaned,,500.0,500.0
meta_00049,cleaned,,500.0,500.0
meta_00050,cleaned,,500.0,500.0
meta_00051,cleaned,,500.0,500.0
meta_00052,cleaned,,500.0,500.0
meta_00053,cleaned,,500.0,500.0
meta_00054,cleaned,,500.0,500.0
meta_00055,cleaned,,500.0,500.0
meta_00056,cleaned,,500.0,500.0
meta_00057,cleaned,,500.0,500.0
meta_00058,cleaned,,500.0,500.0
meta_00059,cleaned,,500.0,500.0
meta_00060,cleaned,,500.0,500.0
meta_00061,cleaned,,500.0,500.0
meta_00062,cleaned,,500.0,500.0
meta_00063,cleaned,,500.0,500.0
meta_00064,cleaned,,500.0,500.0
meta_00065,cleaned,,500.0,500.0
meta_00066,cleaned,,500.0,500.0
meta_00067,cleaned,,500.0,500.0
meta_00068,cleaned,,500.0,500.0
meta_00069,cleaned,,500.0,500.0
meta_00070,cleaned,,500.0,500.0
meta_00071,cleaned,,500.0,500.0
meta_00072,cleaned,,500.0,500.0
meta_00073,cleaned,,500.0,500.0
meta_00074,cleaned,,500.0,500.0
meta_00075,cleaned,,500.0,500.0
meta_00076,cleaned,,500.0,500.0
meta_00077,cleaned,,500.0,500.0
meta_00078,cleaned,,500.0,500.0
meta_00079,cleaned,,500.0,500.0
meta_00080,cleaned,,500.0,500.0
meta_00081,cleaned,,500.0,500.0
meta_00082,cleaned,,500.0,500.0
meta_00083,cleaned,,500.0,500.0
meta_00084,cleaned,,500.0,500.0
meta_00085,cleaned,,500.0,500.0
meta_00086,cleaned,,500.0,500.0
meta_00087,cleaned,,500.0,500.0
meta_00088,cleaned,,500.0,500.0
meta_00089,cleaned,,500.0,500.0
meta_00090,cleaned,,500.0,500.0
meta_00091,cleaned,,500.0,500.0
meta_00092,cleaned,boilerplate_block,6404.0,4946.0
meta_00093,cleaned,boilerplate_block,6016.0,4558.0
meta_00094,cleaned,boilerplate_block,5855.0,4397.0
meta_00095,cleaned,boilerplate_block,5813.0,4355.0
meta_00096,cleaned,boilerplate_block;boilerplate_block,5378.0,3913.0
meta_00097,cleaned,boilerplate_block;boilerplate_block,5822.0,4355.0
meta_00098,cleaned,boilerplate_block,5813.0,4355.0
meta_00099,cleaned,boilerplate_block;boilerplate_block,6074.0,4607.0
meta_00100,cleaned,boilerplate_block,6130.0,4672.0
meta_00101,cleaned,boilerplate_block,6065.0,4607.0
meta_00102,cleaned,boilerplate_block,5821.0,4363.0
meta_00103,cleaned,boilerplate_block,6505.0,5047.0
meta_00104,cleaned,boilerplate_block,5582.0,4124.0
meta_00105,cleaned,boilerplate_block;boilerplate_block,5630.0,4165.0
meta_00106,cleaned,boilerplate_block;boilerplate_block,5378.0,3913.0
meta_00107,cleaned,boilerplate_block;boilerplate_block,5075.0,3608.0
meta_00108,cleaned,boilerplate_block;boilerplate_block,4757.0,3290.0
meta_00109,cleaned,embedded_salary_text,3418.0,3359.0
meta_00110,cleaned,embedded_salary_text,2678.0,2619.0
meta_00111,cleaned,,2947.0,2947.0
meta_00112,cleaned,,2025.0,2025.0
meta_00113,cleaned,boilerplate_block;boilerplate_block,5822.0,4355.0
meta_00114,cleaned,boilerplate_block,5307.0,3851.0
meta_00115,cleaned,embedded_salary_text,3239.0,3180.0
meta_00116,cleaned,boilerplate_block,6505.0,5047.0
meta_00117,cleaned,boilerplate_block,6554.0,5096.0
meta_00118,cleaned,embedded_salary_text,2678.0,2619.0
meta_00119,cleaned,embedded_salary_text,2308.0,2249.0
meta_00120,cleaned,embedded_salary_text,2944.0,2885.0
meta_00121,cleaned,embedded_salary_text,3585.0,3526.0
meta_00122,cleaned,,3688.0,3688.0
meta_00123,cleaned,,2636.0,2636.0
meta_00124,cleaned,,3688.0,3688.0
meta_00125,cleaned,embedded_salary_text,4708.0,4649.0
meta_00126,cleaned,,1183.0,1183.0
meta_00127,cleaned,boilerplate_block,5865.0,4407.0
meta_00128,cleaned,embedded_salary_text,3109.0,3050.0
meta_00129,cleaned,boilerplate_block;boilerplate_block,5198.0,4144.0
meta_00130,cleaned,boilerplate_block;boilerplate_block,5198.0,4144.0
meta_00131,cleaned,boilerplate_block;boilerplate_block,4518.0,3464.0
meta_00132,cleaned,boilerplate_block;boilerplate_block,7619.0,6565.0
meta_00133,cleaned,boilerplate_block;boilerplate_block,7619.0,6565.0
meta_00134,cleaned,boilerplate_block;boilerplate_block,4300.0,3246.0
meta_00135,cleaned,boilerplate_block;boilerplate_block,4300.0,3246.0
meta_00136,cleaned,boilerplate_block;boilerplate_block,3805.0,2751.0
meta_00137,cleaned,boilerplate_block;boilerplate_block,7619.0,6565.0
meta_00138,cleaned,boilerplate_block;boilerplate_block,7619.0,6565.0
meta_00139,cleaned,boilerplate_block;boilerplate_block,4144.0,3090.0
meta_00140,cleaned,boilerplate_block;boilerplate_block,5198.0,4144.0
meta_00141,cleaned,boilerplate_block;boilerplate_block,4642.0,3588.0
meta_00142,cleaned,boilerplate_block;boilerplate_block,4300.0,3246.0
meta_00143,cleaned,boilerplate_block;boilerplate_block,4144.0,3090.0
meta_00144,cleaned,boilerplate_block;boilerplate_block,4144.0,3090.0
meta_00145,cleaned,boilerplate_block;boilerplate_block,4144.0,3090.0
meta_00146,cleaned,boilerplate_block;boilerplate_block,6264.0,5210.0
meta_00147,cleaned,boilerplate_block;boilerplate_block,4462.0,3408.0
meta_00148,cleaned,boilerplate_block;boilerplate_block,4462.0,3408.0
meta_00149,cleaned,boilerplate_block;boilerplate_block,4300.0,3246.0
meta_00150,cleaned,boilerplate_block;boilerplate_block,4462.0,3408.0
meta_00151,cleaned,boilerplate_block;boilerplate_block,5785.0,4731.0
meta_00152,cleaned,boilerplate_block;boilerplate_block,6264.0,5210.0
meta_00153,cleaned,boilerplate_block;boilerplate_block,4406.0,3352.0
meta_00154,cleaned,boilerplate_block;boilerplate_block,4462.0,3408.0
meta_00155,cleaned,boilerplate_block;boilerplate_block,5397.0,4343.0
meta_00156,cleaned,,2775.0,2773.0
meta_00157,cleaned,boilerplate_block;boilerplate_block,5933.0,4879.0
meta_00158,cleaned,boilerplate_block;boilerplate_block,5933.0,4879.0
meta_00159,cleaned,boilerplate_block;boilerplate_block,5386.0,4332.0
meta_00160,cleaned,boilerplate_block;boilerplate_block,5386.0,4332.0
meta_00161,cleaned,boilerplate_block;boilerplate_block,5386.0,4332.0
meta_00162,cleaned,boilerplate_block;boilerplate_block;boilerplate_block,4954.0,3807.0
meta_00163,cleaned,boilerplate_block;boilerplate_block,5104.0,4050.0
meta_00164,cleaned,boilerplate_block;boilerplate_block,6381.0,5327.0
meta_00165,cleaned,boilerplate_block;boilerplate_block,5381.0,4327.0
meta_00166,cleaned,boilerplate_block;boilerplate_block,4557.0,3503.0
meta_00167,cleaned,boilerplate_block;boilerplate_block,5389.0,4335.0
meta_00168,cleaned,boilerplate_block;boilerplate_block,3958.0,2904.0
meta_00169,cleaned,boilerplate_block;boilerplate_block,6351.0,5297.0
meta_00170,cleaned,boilerplate_block;boilerplate_block,3563.0,2509.0
meta_00171,cleaned,boilerplate_block;boilerplate_block,4543.0,3489.0
meta_00172,cleaned,boilerplate_block;boilerplate_block,6347.0,5293.0
meta_00173,cleaned,boilerplate_block;boilerplate_block,4753.0,3699.0
meta_00174,cleaned,boilerplate_block;boilerplate_block,5354.0,4300.0
meta_00175,cleaned,boilerplate_block;boilerplate_block,4696.0,3642.0
meta_00176,cleaned,boilerplate_block;boilerplate_block,4459.0,3405.0
meta_00177,cleaned,boilerplate_block;boilerplate_block,5254.0,4200.0
meta_00178,cleaned,boilerplate_block;boilerplate_block,4842.0,3788.0
meta_00179,cleaned,boilerplate_block;boilerplate_block,5219.0,4165.0
meta_00180,cleaned,boilerplate_block;boilerplate_block,3881.0,2827.0
meta_00181,cleaned,boilerplate_block;boilerplate_block,5381.0,4327.0
meta_00182,cleaned,boilerplate_block;boilerplate_block,4129.0,3075.0
meta_00183,cleaned,boilerplate_block;boilerplate_block,6351.0,5297.0
meta_00184,cleaned,boilerplate_block;boilerplate_block,6351.0,5297.0
meta_00185,cleaned,boilerplate_block;boilerplate_block,3535.0,2483.0
meta_00186,cleaned,boilerplate_block;boilerplate_block,5915.0,4861.0
meta_00187,cleaned,boilerplate_block;boilerplate_block,3979.0,2925.0
meta_00188,cleaned,boilerplate_block;boilerplate_block,6347.0,5293.0
meta_00189,cleaned,boilerplate_block;boilerplate_block,5632.0,4578.0
meta_00190,cleaned,boilerplate_block;boilerplate_block,5381.0,4327.0
meta_00191,cleaned,boilerplate_block;boilerplate_block,4459.0,3405.0
meta_00192,cleaned,boilerplate_block;boilerplate_block,3979.0,2925.0
meta_00193,cleaned,boilerplate_block;boilerplate_block,5632.0,4578.0
meta_00194,cleaned,boilerplate_block;boilerplate_block,3535.0,2483.0
meta_00195,cleaned,boilerplate_block;boilerplate_block,6347.0,5293.0
meta_00196,cleaned,boilerplate_block;boilerplate_block,4517.0,3463.0
meta_00197,cleaned,boilerplate_block;boilerplate_block,4557.0,3503.0
meta_00198,cleaned,boilerplate_block;boilerplate_block,3968.0,2914.0
meta_00199,cleaned,boilerplate_block;boilerplate_block,5381.0,4327.0
meta_00200,cleaned,boilerplate_block;boilerplate_block,3597.0,2543.0
meta_00201,cleaned,boilerplate_block;boilerplate_block,4711.0,3657.0
meta_00202,cleaned,boilerplate_block;boilerplate_block,5742.0,4688.0
meta_00203,missing_source,no_source_description,,
meta_00204,missing_source,no_source_description,,
meta_00205,missing_source,no_source_description,,
meta_00206,cleaned,boilerplate_block;boilerplate_block,4746.0,3649.0
meta_00207,cleaned,boilerplate_block;boilerplate_block,4393.0,3294.0
meta_00208,cleaned,boilerplate_block;boilerplate_block,5665.0,4569.0
meta_00209,cleaned,boilerplate_block;boilerplate_block,3712.0,2621.0
