token,count,share_of_postings
engineer,971,0.5564
software,486,0.2785
ai,330,0.1891
manager,319,0.1828
architect,317,0.1817
solution,211,0.1209
system,197,0.1129
design,129,0.0739
cloud,118,0.0676
developer,116,0.0665
infrastructure,98,0.0562
learning,90,0.0516
networking,88,0.0504
performance,81,0.0464
engineering,81,0.0464
platform,77,0.0441
technical,77,0.0441
program,77,0.0441
verification,77,0.0441
data,76,0.0436
deep,74,0.0424
dgx,70,0.0401
gpu,66,0.0378
product,56,0.0321
relations,55,0.0315
compiler,55,0.0315
account,53,0.0304
security,50,0.0287
hpc,48,0.0275
physical,47,0.0269
research,45,0.0258
asic,44,0.0252
autonomous,39,0.0223
firmware,37,0.0212
new,36,0.0206
agentic,36,0.0206
technology,36,0.0206
college,35,0.0201
network,35,0.0201
soc,33,0.0189
service,32,0.0183
power,31,0.0178
center,31,0.0178
sales,31,0.0178
chip,30,0.0172
vehicles,30,0.0172
development,29,0.0166
architecture,29,0.0166
customer,29,0.0166
tool,28,0.016
automation,28,0.016
grad,27,0.0155
nvis,27,0.0155
inference,26,0.0149
marketing,26,0.0149
lead,26,0.0149
operation,26,0.0149
robotics,25,0.0143
partner,25,0.0143
cuda,25,0.0143
cpu,25,0.0143
hardware,24,0.0138
management,23,0.0132
scientist,23,0.0132
devops,22,0.0126
factory,21,0.012
nvidia,21,0.012
library,21,0.012
applied,20,0.0115
compute,20,0.0115
enterprise,20,0.0115
deployment,18,0.0103
cluster,18,0.0103
simulation,18,0.0103
automotive,18,0.0103
global,17,0.0097
storage,17,0.0097
test,17,0.0097
signal,17,0.0097
application,17,0.0097
optimization,17,0.0097
csp,15,0.0086
model,15,0.0086
circuit,15,0.0086
agents,15,0.0086
reliability,15,0.0086
machine,15,0.0086
production,15,0.0086
scale,14,0.008
financial,14,0.008
vlsi,14,0.008
researcher,13,0.0074
methodology,13,0.0074
ethernet,13,0.0074
integration,13,0.0074
qa,13,0.0074
generative,12,0.0069
processing,12,0.0069
business,12,0.0069
datacenter,12,0.0069
graphics,12,0.0069
formal,12,0.0069
kubernetes,12,0.0069
nvlink,12,0.0069
analyst,12,0.0069
quantum,12,0.0069
agent,12,0.0069
mixed,12,0.0069
safety,12,0.0069
computing,12,0.0069
c++,11,0.0063
site,11,0.0063
validation,11,0.0063
education,11,0.0063
cad,11,0.0063
memory,11,0.0063
specialist,10,0.0057
analysis,10,0.0057
driving,10,0.0057
fabric,10,0.0057
eda,10,0.0057
higher,10,0.0057
doca,10,0.0057
emea,10,0.0057
modeling,10,0.0057
local,10,0.0057
linux,9,0.0052
sector,9,0.0052
digital,9,0.0052
sta,9,0.0052
algorithms,9,0.0052
lpu,9,0.0052
enablement,9,0.0052
silicon,9,0.0052
oem,9,0.0052
framework,9,0.0052
layout,9,0.0052
high-performance,9,0.0052
support,9,0.0052
core,9,0.0052
embedded,8,0.0046
llm,8,0.0046
public,8,0.0046
ml,8,0.0046
speed,8,0.0046
energy,8,0.0046
physics,8,0.0046
distributed,8,0.0046
backend,8,0.0046
manufacturing,8,0.0046
switch,8,0.0046
computer,8,0.0046
stack,8,0.0046
dsx,8,0.0046
success,8,0.0046
natives,8,0.0046
retail,7,0.004
geforce,7,0.004
now,7,0.004
high,7,0.004
healthcare,7,0.004
dft,7,0.004
accelerated,7,0.004
analytics,7,0.004
dl,7,0.004
vision,7,0.004
profiling,7,0.004
industrial,7,0.004
project,6,0.0034
kernel,6,0.0034
engagements,6,0.0034
release,6,0.0034
capital,6,0.0034
market,6,0.0034
neural,6,0.0034
client,6,0.0034
clocks,6,0.0034
ip,6,0.0034
infra,6,0.0034
integrity,6,0.0034
communication,6,0.0034
ecosystem,6,0.0034
full-stack,6,0.0034
mask,6,0.0034
observability,6,0.0034
fusion,6,0.0034
electrical,6,0.0034
ncx,6,0.0034
intelligence,6,0.0034
media,6,0.0034
cybersecurity,6,0.0034
gtm,6,0.0034
infiniband,6,0.0034
python,5,0.0029
rack,5,0.0029
delivery,5,0.0029
package,5,0.0029
interconnect,5,0.0029
at,5,0.0029
genai,5,0.0029
planning,5,0.0029
omniverse,5,0.0029
server,5,0.0029
level,5,0.0029
metropolis,5,0.0029
science,5,0.0029
post-training,5,0.0029
host,5,0.0029
rtl,5,0.0029
full,5,0.0029
build,5,0.0029
rl,5,0.0029
isv,5,0.0029
pcie,5,0.0029
advocate,5,0.0029
it,5,0.0029
designer,5,0.0029
cutlass,5,0.0029
algorithm,5,0.0029
npn,5,0.0029
field,5,0.0029
driver,5,0.0029
evaluation,5,0.0029
boot,5,0.0029
first,5,0.0029
time,5,0.0029
china,5,0.0029
supercomputing,4,0.0023
world,4,0.0023
aiops,4,0.0023
netlisting,4,0.0023
engagement,4,0.0023
lpx,4,0.0023
nccl,4,0.0023
discovery,4,0.0023
strategic,4,0.0023
telemetry,4,0.0023
testing,4,0.0023
reconstruction,4,0.0023
synthesis,4,0.0023
golang,4,0.0023
rust,4,0.0023
government,4,0.0023
visualization,4,0.0023
virtualization,4,0.0023
open,4,0.0023
drive,4,0.0023
os,4,0.0023
fixed,4,0.0023
controller,4,0.0023
cyber,4,0.0023
sdk,4,0.0023
telecom,4,0.0023
isvs,4,0.0023
mapping,4,0.0023
team,4,0.0023
channel,4,0.0023
medical,4,0.0023
nvaitc,4,0.0023
leader,4,0.0023
mlops,4,0.0023
co-design,4,0.0023
segment,4,0.0023
uk,4,0.0023
packaging,4,0.0023
policy,4,0.0023
user,4,0.0023
tensorrt,4,0.0023
custom,4,0.0023
internal,3,0.0017
spectrum-x,3,0.0017
foundation,3,0.0017
experience,3,0.0017
board,3,0.0017
telecommunications,3,0.0017
jax,3,0.0017
capacity,3,0.0017
pytorch,3,0.0017
uefi,3,0.0017
l4,3,0.0017
coherent,3,0.0017
biopharma,3,0.0017
tooling,3,0.0017
controls,3,0.0017
generation,3,0.0017
drug,3,0.0017
tile,3,0.0017
bionemo,3,0.0017
device,3,0.0017
startups,3,0.0017
rtos,3,0.0017
mlir,3,0.0017
accelerator,3,0.0017
modelling,3,0.0017
sbios,3,0.0017
flow,3,0.0017
benchmarking,3,0.0017
counsel,3,0.0017
telco,3,0.0017
north,3,0.0017
industry,3,0.0017
gaming,3,0.0017
term,3,0.0017
bluefield,3,0.0017
bmc,3,0.0017
timing,3,0.0017
sw,3,0.0017
fleet,3,0.0017
process,3,0.0017
tao,3,0.0017
lab,3,0.0017
tech,3,0.0017
pcb,3,0.0017
humanoid,3,0.0017
rdma,3,0.0017
entertainment,3,0.0017
math,3,0.0017
control,3,0.0017
dsp,3,0.0017
front-end,3,0.0017
analog,3,0.0017
perception,3,0.0017
end,3,0.0017
resilience,3,0.0017
sram,3,0.0017
arm,3,0.0017
unit,3,0.0017
hsio,3,0.0017
multimodal,3,0.0017
cae,3,0.0017
orchestration,3,0.0017
advanced,3,0.0017
dach,3,0.0017
apac,3,0.0017
strategy,3,0.0017
databases,3,0.0017
providers,2,0.0011
optical,2,0.0011
post-doc,2,0.0011
cpg,2,0.0011
her,2,0.0011
code-generation,2,0.0011
life,2,0.0011
cycle,2,0.0011
switching,2,0.0011
l3,2,0.0011
inception,2,0.0011
up,2,0.0011
ras,2,0.0011
openbmc,2,0.0011
fall,2,0.0011
alpasim,2,0.0011
sdks,2,0.0011
federal,2,0.0011
workloads,2,0.0011
cuda-q,2,0.0011
transactions,2,0.0011
ci,2,0.0011
alliance,2,0.0011
subsystem,2,0.0011
health,2,0.0011
serdes,2,0.0011
hypervisor,2,0.0011
llvm,2,0.0011
provider,2,0.0011
photonics,2,0.0011
chemistry,2,0.0011
speech,2,0.0011
bootloader,2,0.0011
scientific,2,0.0011
edge,2,0.0011
datacentre,2,0.0011
america,2,0.0011
raytracing,2,0.0011
runtime,2,0.0011
source,2,0.0011
at-scale,2,0.0011
dynamo-triton,2,0.0011
continuous,2,0.0011
bringup,2,0.0011
lifecycle,2,0.0011
administrator,2,0.0011
profiler,2,0.0011
co-packaged,2,0.0011
optics,2,0.0011
layer,2,0.0011
nemotron,2,0.0011
debugger,2,0.0011
fullstack,2,0.0011
multi-modal,2,0.0011
reference,2,0.0011
accounts,2,0.0011
procurement,2,0.0011
clinical,2,0.0011
hyperscale,2,0.0011
logic,2,0.0011
large,2,0.0011
language,2,0.0011
sap,2,0.0011
low,2,0.0011
dsl,2,0.0011
npi,2,0.0011
nordics,2,0.0011
nic,2,0.0011
warp,2,0.0011
identity,2,0.0011
governance,2,0.0011
human,2,0.0011
synthetic,2,0.0011
baseos,2,0.0011
hpe,2,0.0011
tpm,2,0.0011
floorplan,2,0.0011
quality,2,0.0011
logistics,2,0.0011
execution,2,0.0011
productivity,2,0.0011
efficiency,2,0.0011
multi-vehicle,2,0.0011
adaptation,2,0.0011
atpg,2,0.0011
station,2,0.0011
shader,2,0.0011
windows,2,0.0011
artificial,2,0.0011
corporate,2,0.0011
grid,2,0.0011
training,2,0.0011
buildouts,2,0.0011
sim-to-real,2,0.0011
debugging,2,0.0011
datasets,2,0.0011
benchmarks,2,0.0011
attestation,2,0.0011
medtech,2,0.0011
end-to-end,2,0.0011
wireless,2,0.0011
interactive,2,0.0011
unified,2,0.0011
forward,2,0.0011
tensorrt-llm,2,0.0011
dynamo,2,0.0011
localization,2,0.0011
phd,2,0.0011
dgxc,2,0.0011
multi-node,2,0.0011
numerical,2,0.0011
cuopt,2,0.0011
graph,2,0.0011
content,2,0.0011
sonic,2,0.0011
cosmoslab,2,0.0011
io,2,0.0011
codesign,2,0.0011
crisp,2,0.0011
lsf,2,0.0011
halos,2,0.0011
smart,2,0.0011
spaces,2,0.0011
southern,2,0.0011
edge-llm,2,0.0011
supply,2,0.0011
chain,2,0.0011
hcls,2,0.0011
harness,2,0.0011
out,2,0.0011
hw,2,0.0011
devtech,2,0.0011
europe,2,0.0011
aided,2,0.0011
sre,2,0.0011
compliance,2,0.0011
labs,2,0.0011
post,2,0.0011
detection,2,0.0011
image,2,0.0011
defined,2,0.0011
native,2,0.0011
regional,2,0.0011
resiliency,1,0.0006
biology,1,0.0006
innovus,1,0.0006
flows,1,0.0006
biosciences,1,0.0006
tax,1,0.0006
noise,1,0.0006
blueprints,1,0.0006
nim,1,0.0006
integrations,1,0.0006
technician,1,0.0006
semiconductor,1,0.0006
secure,1,0.0006
cryptographic,1,0.0006
bios,1,0.0006
start,1,0.0006
matrix,1,0.0006
multiplication,1,0.0006
research-ops,1,0.0006
multi,1,0.0006
alpadreams,1,0.0006
urban,1,0.0006
next-gen,1,0.0006
k8s,1,0.0006
chromium,1,0.0006
cef,1,0.0006
workflows,1,0.0006
insurance,1,0.0006
hyperscalers,1,0.0006
workflow,1,0.0006
