job_id,skill,skill_category,job_category
JOB00000,google_cloud,Cloud & Infrastructure,Program Management
JOB00000,cloud_computing,Cloud & Infrastructure,Program Management
JOB00000,project_management,Business & Soft Skills,Program Management
JOB00000,stakeholder_management,Business & Soft Skills,Program Management
JOB00000,communication_skills,Business & Soft Skills,Program Management
JOB00000,cross_functional_collaboration,Business & Soft Skills,Program Management
JOB00000,sales,Business & Soft Skills,Program Management
JOB00000,marketing,Business & Soft Skills,Program Management
JOB00000,bachelors_degree,Education & Certifications,Program Management
JOB00001,data_analysis,Data & Machine Learning,Manufacturing & Supply Chain
JOB00001,statistics,Data & Machine Learning,Manufacturing & Supply Chain
JOB00001,cross_functional_collaboration,Business & Soft Skills,Manufacturing & Supply Chain
JOB00001,supply_chain,Hardware & Manufacturing,Manufacturing & Supply Chain
JOB00001,manufacturing,Hardware & Manufacturing,Manufacturing & Supply Chain
JOB00001,bachelors_degree,Education & Certifications,Manufacturing & Supply Chain
JOB00002,python,Programming Languages,Technical Solutions
JOB00002,r_lang,Programming Languages,Technical Solutions
JOB00002,sql,Programming Languages,Technical Solutions
JOB00002,machine_learning,Data & Machine Learning,Technical Solutions
JOB00002,statistics,Data & Machine Learning,Technical Solutions
JOB00002,databases_general,Databases,Technical Solutions
JOB00002,stakeholder_management,Business & Soft Skills,Technical Solutions
JOB00002,communication_skills,Business & Soft Skills,Technical Solutions
JOB00002,cross_functional_collaboration,Business & Soft Skills,Technical Solutions
JOB00002,consulting,Business & Soft Skills,Technical Solutions
JOB00003,java,Programming Languages,Developer Relations
JOB00003,javascript,Programming Languages,Developer Relations
JOB00003,kotlin,Programming Languages,Developer Relations
JOB00003,rest_api,Web & Frameworks,Developer Relations
JOB00003,android,Web & Frameworks,Developer Relations
JOB00003,ios,Web & Frameworks,Developer Relations
JOB00003,mobile_development,Web & Frameworks,Developer Relations
JOB00003,stakeholder_management,Business & Soft Skills,Developer Relations
JOB00003,bachelors_degree,Education & Certifications,Developer Relations
JOB00003,computer_science_degree,Education & Certifications,Developer Relations
JOB00004,project_management,Business & Soft Skills,Program Management
JOB00004,stakeholder_management,Business & Soft Skills,Program Management
JOB00004,cross_functional_collaboration,Business & Soft Skills,Program Management
JOB00004,strategic_planning,Business & Soft Skills,Program Management
JOB00004,consulting,Business & Soft Skills,Program Management
JOB00004,bachelors_degree,Education & Certifications,Program Management
JOB00005,strategic_planning,Business & Soft Skills,Technical Solutions
JOB00005,customer_service,Business & Soft Skills,Technical Solutions
JOB00005,sales,Business & Soft Skills,Technical Solutions
JOB00005,marketing,Business & Soft Skills,Technical Solutions
JOB00005,consulting,Business & Soft Skills,Technical Solutions
JOB00006,statistics,Data & Machine Learning,Hardware Engineering
JOB00006,project_management,Business & Soft Skills,Hardware Engineering
JOB00006,cross_functional_collaboration,Business & Soft Skills,Hardware Engineering
JOB00006,hardware_engineering,Hardware & Manufacturing,Hardware Engineering
JOB00006,supply_chain,Hardware & Manufacturing,Hardware Engineering
JOB00006,manufacturing,Hardware & Manufacturing,Hardware Engineering
JOB00006,bachelors_degree,Education & Certifications,Hardware Engineering
JOB00007,product_management,Business & Soft Skills,Partnerships
JOB00007,cross_functional_collaboration,Business & Soft Skills,Partnerships
JOB00007,strategic_planning,Business & Soft Skills,Partnerships
JOB00007,sales,Business & Soft Skills,Partnerships
JOB00007,bachelors_degree,Education & Certifications,Partnerships
JOB00008,cross_functional_collaboration,Business & Soft Skills,Manufacturing & Supply Chain
JOB00008,negotiation,Business & Soft Skills,Manufacturing & Supply Chain
JOB00008,strategic_planning,Business & Soft Skills,Manufacturing & Supply Chain
JOB00008,hardware_engineering,Hardware & Manufacturing,Manufacturing & Supply Chain
JOB00008,supply_chain,Hardware & Manufacturing,Manufacturing & Supply Chain
JOB00008,manufacturing,Hardware & Manufacturing,Manufacturing & Supply Chain
JOB00008,bachelors_degree,Education & Certifications,Manufacturing & Supply Chain
JOB00008,masters_degree,Education & Certifications,Manufacturing & Supply Chain
JOB00009,python,Programming Languages,Technical Solutions
JOB00009,java,Programming Languages,Technical Solutions
JOB00009,javascript,Programming Languages,Technical Solutions
JOB00009,c++,Programming Languages,Technical Solutions
JOB00009,c_lang,Programming Languages,Technical Solutions
JOB00009,go,Programming Languages,Technical Solutions
JOB00009,google_cloud,Cloud & Infrastructure,Technical Solutions
JOB00009,cloud_computing,Cloud & Infrastructure,Technical Solutions
JOB00009,networking,Cloud & Infrastructure,Technical Solutions
JOB00009,databases_general,Databases,Technical Solutions
JOB00009,security_general,Security,Technical Solutions
JOB00009,leadership,Business & Soft Skills,Technical Solutions
JOB00009,sales,Business & Soft Skills,Technical Solutions
JOB00009,marketing,Business & Soft Skills,Technical Solutions
JOB00009,bachelors_degree,Education & Certifications,Technical Solutions
JOB00009,computer_science_degree,Education & Certifications,Technical Solutions
JOB00010,sql,Programming Languages,Product & Customer Support
JOB00010,data_analysis,Data & Machine Learning,Product & Customer Support
JOB00010,statistics,Data & Machine Learning,Product & Customer Support
JOB00010,communication_skills,Business & Soft Skills,Product & Customer Support
JOB00010,leadership,Business & Soft Skills,Product & Customer Support
JOB00010,strategic_planning,Business & Soft Skills,Product & Customer Support
JOB00010,consulting,Business & Soft Skills,Product & Customer Support
JOB00010,hardware_engineering,Hardware & Manufacturing,Product & Customer Support
JOB00010,bachelors_degree,Education & Certifications,Product & Customer Support
JOB00010,computer_science_degree,Education & Certifications,Product & Customer Support
JOB00011,scala,Programming Languages,Partnerships
JOB00011,google_cloud,Cloud & Infrastructure,Partnerships
JOB00011,program_management,Business & Soft Skills,Partnerships
JOB00011,communication_skills,Business & Soft Skills,Partnerships
JOB00011,sales,Business & Soft Skills,Partnerships
JOB00011,masters_degree,Education & Certifications,Partnerships
JOB00011,computer_science_degree,Education & Certifications,Partnerships
JOB00012,strategic_planning,Business & Soft Skills,Technical Solutions
JOB00012,customer_service,Business & Soft Skills,Technical Solutions
JOB00012,sales,Business & Soft Skills,Technical Solutions
JOB00012,marketing,Business & Soft Skills,Technical Solutions
JOB00012,consulting,Business & Soft Skills,Technical Solutions
JOB00013,python,Programming Languages,Product & Customer Support
JOB00013,r_lang,Programming Languages,Product & Customer Support
JOB00013,sql,Programming Languages,Product & Customer Support
JOB00013,data_analysis,Data & Machine Learning,Product & Customer Support
JOB00013,statistics,Data & Machine Learning,Product & Customer Support
JOB00013,data_mining,Data & Machine Learning,Product & Customer Support
JOB00013,google_cloud,Cloud & Infrastructure,Product & Customer Support
JOB00013,stakeholder_management,Business & Soft Skills,Product & Customer Support
JOB00013,cross_functional_collaboration,Business & Soft Skills,Product & Customer Support
JOB00013,customer_service,Business & Soft Skills,Product & Customer Support
JOB00013,bachelors_degree,Education & Certifications,Product & Customer Support
JOB00013,masters_degree,Education & Certifications,Product & Customer Support
JOB00013,phd,Education & Certifications,Product & Customer Support
JOB00014,python,Programming Languages,Technical Solutions
JOB00014,java,Programming Languages,Technical Solutions
JOB00014,javascript,Programming Languages,Technical Solutions
JOB00014,c#,Programming Languages,Technical Solutions
JOB00014,c_lang,Programming Languages,Technical Solutions
JOB00014,ruby,Programming Languages,Technical Solutions
