job_id,company_name,skill_canonical,category,matched_term,matched_field,posting_month
meta_00002,Meta,Computer Vision,research_domains,Computer Vision,title,2025-11
meta_00002,Meta,Reinforcement Learning,research_domains,Reinforcement Learning,description,2025-11
meta_00002,Meta,Robotics,research_domains,Robotics,title,2025-11
meta_00003,Meta,Computer Vision,research_domains,Computer Vision,title,2026-02
meta_00003,Meta,Robotics,research_domains,Robotics,description,2026-02
meta_00003,Meta,Agentic AI,research_domains,agents,description,2026-02
meta_00004,Meta,Computer Vision,research_domains,Computer Vision,title,2026-01
meta_00004,Meta,Robotics,research_domains,Robotics,description,2026-01
meta_00004,Meta,Agentic AI,research_domains,agents,description,2026-01
meta_00005,Meta,Computer Vision,research_domains,Computer Vision,title,2026-01
meta_00005,Meta,Robotics,research_domains,Robotics,description,2026-01
meta_00005,Meta,Agentic AI,research_domains,agents,description,2026-01
meta_00006,Meta,LLMs,research_domains,generative ai,title,2025-09
meta_00006,Meta,Generative AI,research_domains,Generative AI,title,2025-09
meta_00006,Meta,Generative AI,research_domains,generative ai,title,2025-09
meta_00007,Meta,LLMs,research_domains,generative ai,title,2025-10
meta_00007,Meta,Generative AI,research_domains,Generative AI,title,2025-10
meta_00007,Meta,Generative AI,research_domains,generative ai,title,2025-10
meta_00008,Meta,LLMs,research_domains,generative ai,title,2026-02
meta_00008,Meta,Generative AI,research_domains,Generative AI,title,2026-02
meta_00008,Meta,Generative AI,research_domains,generative ai,title,2026-02
meta_00009,Meta,AI Safety,research_domains,alignment,description,2026-01
meta_00010,Meta,AI Safety,research_domains,alignment,description,2026-01
meta_00011,Meta,AI Safety,research_domains,alignment,description,2026-02
meta_00012,Meta,Robotics,research_domains,Robotics,title,2025-12
meta_00013,Meta,Robotics,research_domains,Robotics,title,2026-02
meta_00014,Meta,Robotics,research_domains,Robotics,title,2026-01
meta_00015,Meta,Robotics,research_domains,Robotics,title,2026-02
meta_00016,Meta,Reinforcement Learning,research_domains,rl,description,2026-02
meta_00016,Meta,Cloud Infrastructure,cloud_infra,cloud,description,2026-02
meta_00017,Meta,Reinforcement Learning,research_domains,rl,description,2026-02
meta_00017,Meta,Cloud Infrastructure,cloud_infra,cloud,description,2026-02
meta_00018,Meta,Reinforcement Learning,research_domains,rl,description,2026-02
meta_00018,Meta,Agentic AI,research_domains,Agentic AI,description,2026-02
meta_00019,Meta,Machine Learning,research_domains,Machine Learning,description,2026-02
meta_00019,Meta,LLMs,research_domains,large language models,description,2026-02
meta_00019,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00020,Meta,Machine Learning,research_domains,ml,description,2026-02
meta_00020,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00020,Meta,Performance Engineering,hardware_systems,optimization,description,2026-02
meta_00021,Meta,Machine Learning,research_domains,ml,description,2026-02
meta_00021,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00021,Meta,Performance Engineering,hardware_systems,optimization,description,2026-02
meta_00022,Meta,Machine Learning,research_domains,ml,description,2026-02
meta_00022,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00022,Meta,Performance Engineering,hardware_systems,optimization,description,2026-02
meta_00023,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00023,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00023,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00024,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00024,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00024,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00025,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00025,Meta,Recommender Systems,research_domains,ranking,description,2026-02
