candidate_term,frequency,example_job_id
social,141,meta_00081
shape,139,meta_00003
strategy,139,meta_00093
software,138,meta_00003
degree,135,meta_00092
drive,131,meta_00019
analytics,131,meta_00092
models,130,meta_00012
content,128,meta_00019
influence,127,meta_00092
learning,125,meta_00002
messenger,125,meta_00081
about,125,meta_00092
science,124,meta_00001
design,124,meta_00014
way,124,meta_00081
knowledge,123,meta_00014
apps,123,meta_00081
responsibilities,121,meta_00075
whatsapp,121,meta_00081
identify,119,meta_00092
next,117,meta_00012
communities,117,meta_00081
virtual,115,meta_00081
developing,114,meta_00003
augmented,114,meta_00081
partners,113,meta_00093
large,112,meta_00014
key,112,meta_00023
preferred,112,meta_00092
develop,111,meta_00014
when,110,meta_00081
support,110,meta_00092
possible,109,meta_00078
grow,109,meta_00081
immersive,108,meta_00003
builds,108,meta_00081
digital,108,meta_00092
connection,107,meta_00012
recommendation,107,meta_00019
find,107,meta_00081
field,106,meta_00006
toward,106,meta_00081
evolution,106,meta_00081
through,105,meta_00088
quality,105,meta_00089
makes,105,meta_00092
further,104,meta_00081
find communities,104,meta_00081
complex,104,meta_00093
launched,103,meta_00081
changed,103,meta_00081
empowered,103,meta_00081
now,103,meta_00081
moving,103,meta_00081
launched changed,103,meta_00081
whatsapp further,103,meta_00081
further empowered,103,meta_00081
toward immersive,103,meta_00081
next evolution,103,meta_00081
