skill,skill_category,postings,share_of_postings,first_seen,last_seen,weeks_present,top_role_function,senior_share,postings_first_half,postings_second_half,rate_change,emerging_skill_flag,rank
Solutions Architecture,product_process,192,0.11,2026-05-13,2026-09-02,12,Architect,0.615,73,81,0.0004,False,1
Networking,hardware_systems,142,0.0814,2026-05-13,2026-09-02,12,Engineer,0.739,58,54,-0.0143,False,2
Cloud Infrastructure,cloud_infra,133,0.0762,2026-05-13,2026-09-02,12,Engineer,0.812,49,51,-0.0045,False,3
Datacenter Systems,hardware_systems,118,0.0676,2026-05-13,2026-09-02,12,Engineer,0.831,49,36,-0.0257,False,4
Performance Engineering,hardware_systems,113,0.0648,2026-05-13,2026-09-02,12,Engineer,0.593,38,55,0.0183,False,5
Deep Learning,research_domains,81,0.0464,2026-05-13,2026-08-27,11,Engineer,0.691,31,33,-0.0018,False,6
Silicon Verification,silicon_design,79,0.0453,2026-05-13,2026-09-02,12,Engineer,0.544,30,26,-0.0101,False,7
SoC Design,silicon_design,61,0.035,2026-05-13,2026-08-27,11,Engineer,0.541,26,25,-0.0053,False,8
Developer Relations,product_process,57,0.0327,2026-05-13,2026-09-02,12,Manager,0.474,20,22,-0.0002,False,9
Agentic AI,research_domains,56,0.0321,2026-05-13,2026-09-02,11,Engineer,0.714,17,31,0.0172,True,10
Compilers,hardware_systems,55,0.0315,2026-05-13,2026-09-02,11,Engineer,0.636,11,25,0.0181,True,11
Cybersecurity,mlops_devops,55,0.0315,2026-05-13,2026-09-02,10,Engineer,0.582,21,27,0.0053,False,12
HPC,hardware_systems,48,0.0275,2026-05-13,2026-09-02,12,Engineer,0.792,14,24,0.012,True,13
Site Reliability,mlops_devops,40,0.0229,2026-05-13,2026-09-02,11,Engineer,0.825,13,16,0.0023,False,14
Embedded Systems,hardware_systems,39,0.0223,2026-05-13,2026-09-02,11,Engineer,0.59,11,14,0.0026,False,15
