year_month,Category,postings
2023-01,Business Strategy,3
2023-01,Finance,4
2023-01,Hardware Engineering,2
2023-01,Legal & Government Relations,3
2023-01,Marketing & Communications,10
2023-01,Partnerships,1
2023-01,People Operations,4
2023-01,Product & Customer Support,1
2023-01,Program Management,4
2023-01,Sales & Account Management,9
2023-01,Software Engineering,3
2023-01,Technical Solutions,2
2023-01,User Experience & Design,11
2023-02,Business Strategy,2
2023-02,Data Center & Network,1
2023-02,Finance,3
2023-02,Legal & Government Relations,1
2023-02,Manufacturing & Supply Chain,1
2023-02,Marketing & Communications,6
2023-02,Partnerships,2
2023-02,People Operations,1
2023-02,Product & Customer Support,2
2023-02,Program Management,4
2023-02,Real Estate & Workplace Services,1
2023-02,Sales & Account Management,8
2023-02,Sales Operations,1
2023-02,Technical Solutions,2
2023-02,User Experience & Design,1
2023-03,Administrative,1
2023-03,Business Strategy,5
2023-03,Finance,4
2023-03,Hardware Engineering,1
2023-03,Legal & Government Relations,5
2023-03,Manufacturing & Supply Chain,4
2023-03,Marketing & Communications,8
2023-03,Partnerships,3
2023-03,People Operations,3
2023-03,Product & Customer Support,2
2023-03,Program Management,6
2023-03,Real Estate & Workplace Services,4
2023-03,Sales & Account Management,10
2023-03,Sales Operations,4
2023-03,Software Engineering,2
2023-03,Technical Solutions,3
2023-03,User Experience & Design,5
2023-04,Administrative,1
2023-04,Business Strategy,3
2023-04,Finance,6
2023-04,Hardware Engineering,1
2023-04,Legal & Government Relations,4
2023-04,Manufacturing & Supply Chain,1
2023-04,Marketing & Communications,4
2023-04,Partnerships,2
2023-04,People Operations,2
2023-04,Product & Customer Support,3
2023-04,Program Management,1
2023-04,Real Estate & Workplace Services,3
2023-04,Sales & Account Management,7
2023-04,Sales Operations,2
2023-04,Software Engineering,2
2023-04,Technical Solutions,3
2023-04,Technical Writing,2
2023-04,User Experience & Design,5
2023-05,Administrative,1
2023-05,Business Strategy,3
2023-05,Finance,5
2023-05,Hardware Engineering,2
2023-05,Legal & Government Relations,2
2023-05,Marketing & Communications,7
2023-05,Partnerships,2
2023-05,People Operations,4
2023-05,Program Management,3
2023-05,Sales & Account Management,9
2023-05,Software Engineering,4
2023-05,Technical Solutions,3
2023-05,User Experience & Design,5
2023-06,Administrative,1
2023-06,Finance,6
2023-06,Legal & Government Relations,2
2023-06,Marketing & Communications,6
2023-06,Partnerships,1
2023-06,People Operations,4
2023-06,Product & Customer Support,3
2023-06,Program Management,3
2023-06,Real Estate & Workplace Services,1
2023-06,Sales & Account Management,6
2023-06,Software Engineering,1
2023-06,Technical Infrastructure,1
2023-06,Technical Solutions,7
2023-06,Technical Writing,1
2023-06,User Experience & Design,3
2023-07,Administrative,6
2023-07,Business Strategy,2
2023-07,Finance,5
2023-07,Legal & Government Relations,2
2023-07,Manufacturing & Supply Chain,2
2023-07,Marketing & Communications,10
2023-07,Partnerships,2
2023-07,People Operations,4
2023-07,Product & Customer Support,2
