year_month,postings,rolling_3mo_avg,mom_growth_pct
2023-01,57,57.0,
2023-02,36,46.5,-36.8
2023-03,70,54.33,94.4
2023-04,52,52.67,-25.7
2023-05,50,57.33,-3.8
2023-06,46,49.33,-8.0
2023-07,64,53.33,39.1
2023-08,39,49.67,-39.1
2023-09,49,50.67,25.6
2023-10,57,48.33,16.3
2023-11,44,50.0,-22.8
2023-12,40,47.0,-9.1
2024-01,46,43.33,15.0
2024-02,47,44.33,2.2
2024-03,46,46.33,-2.1
2024-04,39,44.0,-15.2
2024-05,45,43.33,15.4
2024-06,53,45.67,17.8
2024-07,34,44.0,-35.8
2024-08,47,44.67,38.2
2024-09,43,41.33,-8.5
2024-10,53,47.67,23.3
2024-11,31,42.33,-41.5
2024-12,39,41.0,25.8
