year_month,skill,mentions
2023-01,analytical_skills,15
2023-01,bachelors_degree,43
2023-01,communication_skills,13
2023-01,computer_science_degree,17
2023-01,consulting,12
2023-01,cross_functional_collaboration,18
2023-01,google_cloud,15
2023-01,leadership,12
2023-01,marketing,24
2023-01,masters_degree,9
2023-01,problem_solving,8
2023-01,project_management,9
2023-01,sales,23
2023-01,stakeholder_management,15
2023-01,strategic_planning,16
2023-02,analytical_skills,4
2023-02,bachelors_degree,25
2023-02,communication_skills,3
2023-02,computer_science_degree,9
2023-02,consulting,9
2023-02,cross_functional_collaboration,16
2023-02,google_cloud,9
2023-02,leadership,7
2023-02,marketing,14
2023-02,masters_degree,7
2023-02,problem_solving,4
2023-02,project_management,7
2023-02,sales,17
2023-02,stakeholder_management,14
2023-02,strategic_planning,13
2023-03,analytical_skills,13
2023-03,bachelors_degree,46
2023-03,communication_skills,17
2023-03,computer_science_degree,12
2023-03,consulting,13
2023-03,cross_functional_collaboration,34
2023-03,google_cloud,13
2023-03,leadership,15
2023-03,marketing,23
2023-03,masters_degree,12
2023-03,problem_solving,10
2023-03,project_management,13
2023-03,sales,27
2023-03,stakeholder_management,22
2023-03,strategic_planning,23
2023-04,analytical_skills,6
2023-04,bachelors_degree,37
2023-04,communication_skills,12
2023-04,computer_science_degree,12
2023-04,consulting,12
2023-04,cross_functional_collaboration,15
2023-04,google_cloud,11
2023-04,leadership,10
2023-04,marketing,17
2023-04,masters_degree,9
2023-04,problem_solving,5
2023-04,project_management,9
2023-04,sales,24
2023-04,stakeholder_management,14
2023-04,strategic_planning,13
2023-05,analytical_skills,3
2023-05,bachelors_degree,41
2023-05,communication_skills,10
2023-05,computer_science_degree,11
2023-05,consulting,8
2023-05,cross_functional_collaboration,17
2023-05,google_cloud,10
2023-05,leadership,10
2023-05,marketing,16
2023-05,masters_degree,6
2023-05,problem_solving,8
2023-05,project_management,9
2023-05,sales,21
2023-05,stakeholder_management,14
2023-05,strategic_planning,17
2023-06,analytical_skills,11
2023-06,bachelors_degree,35
2023-06,communication_skills,7
2023-06,computer_science_degree,9
2023-06,consulting,9
2023-06,cross_functional_collaboration,14
2023-06,google_cloud,13
2023-06,leadership,12
2023-06,marketing,13
2023-06,masters_degree,4
2023-06,problem_solving,4
2023-06,project_management,12
2023-06,sales,17
2023-06,stakeholder_management,13
2023-06,strategic_planning,13
2023-07,analytical_skills,8
2023-07,bachelors_degree,50
2023-07,communication_skills,17
2023-07,computer_science_degree,14
2023-07,consulting,21
2023-07,cross_functional_collaboration,22
2023-07,google_cloud,17
2023-07,leadership,11
2023-07,marketing,26
2023-07,masters_degree,15
2023-07,problem_solving,9
2023-07,project_management,12
2023-07,sales,31
2023-07,stakeholder_management,17
2023-07,strategic_planning,14
2023-08,analytical_skills,10
2023-08,bachelors_degree,28
2023-08,communication_skills,9
2023-08,computer_science_degree,7
2023-08,consulting,13
2023-08,cross_functional_collaboration,14
2023-08,google_cloud,6
2023-08,leadership,12
2023-08,marketing,14
2023-08,masters_degree,8
2023-08,problem_solving,6
2023-08,project_management,13
2023-08,sales,21
2023-08,stakeholder_management,8
2023-08,strategic_planning,18
2023-09,analytical_skills,7
2023-09,bachelors_degree,35
2023-09,communication_skills,7
2023-09,computer_science_degree,9
2023-09,consulting,14
2023-09,cross_functional_collaboration,21
2023-09,google_cloud,9
2023-09,leadership,10
2023-09,marketing,18
2023-09,masters_degree,11
2023-09,problem_solving,9
2023-09,project_management,7
2023-09,sales,15
2023-09,stakeholder_management,13
2023-09,strategic_planning,23
2023-10,analytical_skills,7
2023-10,bachelors_degree,40
2023-10,communication_skills,13
2023-10,computer_science_degree,17
2023-10,consulting,10
2023-10,cross_functional_collaboration,22
2023-10,google_cloud,15
2023-10,leadership,10
2023-10,marketing,16
2023-10,masters_degree,10
2023-10,problem_solving,11
2023-10,project_management,16
2023-10,sales,25
2023-10,stakeholder_management,14
2023-10,strategic_planning,14
2023-11,analytical_skills,9
2023-11,bachelors_degree,31
2023-11,communication_skills,11
2023-11,computer_science_degree,5
2023-11,consulting,8
2023-11,cross_functional_collaboration,21
2023-11,google_cloud,8
2023-11,leadership,18
2023-11,marketing,18
2023-11,masters_degree,9
2023-11,problem_solving,9
2023-11,project_management,11
2023-11,sales,17
2023-11,stakeholder_management,17
2023-11,strategic_planning,17
2023-12,analytical_skills,7
2023-12,bachelors_degree,30
2023-12,communication_skills,12
2023-12,computer_science_degree,9
2023-12,consulting,10
2023-12,cross_functional_collaboration,16
2023-12,google_cloud,9
2023-12,leadership,14
2023-12,marketing,11
2023-12,masters_degree,7
2023-12,problem_solving,6
2023-12,project_management,6
2023-12,sales,16
2023-12,stakeholder_management,12
2023-12,strategic_planning,11
2024-01,analytical_skills,8
2024-01,bachelors_degree,39
2024-01,communication_skills,10
2024-01,computer_science_degree,15
2024-01,consulting,7
2024-01,cross_functional_collaboration,19
2024-01,google_cloud,17
2024-01,leadership,10
2024-01,marketing,20
2024-01,masters_degree,8
2024-01,problem_solving,9
2024-01,project_management,8
2024-01,sales,23
2024-01,stakeholder_management,12
2024-01,strategic_planning,17
2024-02,analytical_skills,4
2024-02,bachelors_degree,39
2024-02,communication_skills,14
2024-02,computer_science_degree,17
2024-02,consulting,12
2024-02,cross_functional_collaboration,17
2024-02,google_cloud,12
