Company,skill,postings_mentioning,pct_of_postings
Google,bachelors_degree,824,74.44
Google,sales,473,42.73
Google,cross_functional_collaboration,410,37.04
Google,marketing,384,34.69
Google,strategic_planning,334,30.17
Google,stakeholder_management,332,29.99
Google,google_cloud,272,24.57
Google,computer_science_degree,264,23.85
Google,leadership,253,22.85
Google,consulting,252,22.76
Google,communication_skills,242,21.86
Google,project_management,234,21.14
Google,masters_degree,180,16.26
Google,analytical_skills,177,15.99
Google,problem_solving,173,15.63
YouTube,bachelors_degree,15,75.0
YouTube,cross_functional_collaboration,14,70.0
YouTube,strategic_planning,9,45.0
YouTube,leadership,8,40.0
YouTube,scala,6,30.0
YouTube,marketing,6,30.0
YouTube,communication_skills,5,25.0
YouTube,project_management,5,25.0
YouTube,problem_solving,5,25.0
YouTube,sql,4,20.0
YouTube,sales,4,20.0
YouTube,stakeholder_management,4,20.0
YouTube,masters_degree,4,20.0
YouTube,data_analysis,3,15.0
YouTube,statistics,3,15.0
