Category,year_month,forecast_postings
Technical Solutions,2025-01,6.1
Technical Solutions,2025-02,6.2
Technical Solutions,2025-03,6.4
Technical Solutions,2025-04,6.5
Technical Solutions,2025-05,6.6
Technical Solutions,2025-06,6.8
Partnerships,2025-01,2.8
Partnerships,2025-02,2.9
Partnerships,2025-03,2.9
Partnerships,2025-04,2.9
Partnerships,2025-05,3.0
Partnerships,2025-06,3.0
People Operations,2025-01,3.7
People Operations,2025-02,3.7
People Operations,2025-03,3.7
People Operations,2025-04,3.7
People Operations,2025-05,3.7
People Operations,2025-06,3.7
